author,count,rank
Tao Liu,18,1
Yu Zhang,13,2
Xiang Li,12,3
Yuan Gao,11,4
Hao Li,11,5
Yu Li,10,6
Yi Zhang,10,7
Hao Wang,10,8
Yu Wang,10,9
Saeid Jamshidi,10,10
Guandong Li,9,11
Yida Lin,9,12
Jun Wang,8,13
Wei Huang,8,14
Teerapong Panboonyuen,8,15
Bin-Bin Gao,8,16
Lei Wang,8,17
Yizhan Feng,8,18
Yuxuan Li,8,19
Jiahao Li,8,20
