author,count,rank
Liang Zhu,7,1
Kyeonghun Kim,5,2
Kabilan Elangovan,4,3
Svetlana Pavlitska,4,4
Yun Li,4,5
Yixin Chen,4,6
Yuheng Jiang,4,7
Carlos Schmidt,4,8
Jiaming Su,4,9
Alkis Sygkounas,4,10
Jie Cao,4,11
Daniel Miehling,3,12
Atilla Kaan Alkan,3,13
Subin Park,3,14
Qihang Fan,3,15
Fady Ibrahim,3,16
Qi Guo,3,17
Anders Malthe Westerkam,3,18
Enrico Francesco Giannico,3,19
Ella P. Fokkinga,3,20
