author,count,rank
Yizhan Feng,8,1
Yu Li,8,2
Yu Wang,8,3
Tao Liu,7,4
Hao Wang,7,5
Unggi Lee,7,6
Shuai Wang,7,7
Zhipeng Zhang,7,8
Saeid Jamshidi,7,9
Liang Zhu,7,10
Li Sun,7,11
Xiaojie Gu,6,12
Yuxuan Li,6,13
Yuhan Chen,6,14
Yichuan Ma,6,15
Wei Zhu,6,16
Jie Cao,6,17
Yu Liu,6,18
Teerapong Panboonyuen,5,19
Markus Gross,5,20
